transaction_id,amount,currency,country,payment_method,merchant_category,psp,status,timestamp,processing_time_ms,cost,fraud_score
txn_000000,42.31,GBP,US,card,digital,stripe,success,2025-06-08 20:34:51.038635,107,1.53,0.001
txn_000001,16.32,USD,US,card,digital,stripe,success,2025-03-08 00:47:51.038635,137,0.77,0.03
txn_000002,53.07,USD,IN,bank,food,razorpay,failed,2025-02-01 16:39:51.038635,171,1.52,0.029
txn_000003,197.26,EUR,US,card,digital,stripe,success,2025-06-19 17:30:51.038635,128,6.02,0.013
txn_000004,14.14,USD,US,card,retail,stripe,success,2025-05-15 20:10:51.038635,140,0.71,0.056
txn_000005,14.14,GBP,DE,card,travel,square,success,2025-04-14 18:34:51.038635,105,0.47,0.046
txn_000006,214.61,EUR,DE,card,travel,adyen,success,2025-01-19 23:47:51.038635,97,6.13,0.002
txn_000007,63.51,EUR,SG,bank,travel,razorpay,success,2025-05-06 12:34:51.038635,143,1.77,0.057
txn_000008,10.0,USD,UK,card,digital,adyen,success,2025-05-20 00:18:51.038635,77,0.4,0.01
txn_000009,45.32,GBP,US,crypto,food,stripe,success,2025-06-12 16:07:51.038635,102,1.61,0.074
txn_000010,10.02,CAD,US,bank,digital,stripe,success,2025-04-14 01:01:51.038635,161,0.59,0.015
txn_000011,10.0,BRL,BR,card,retail,adyen,success,2025-05-27 02:24:51.038635,160,0.4,0.04
txn_000012,28.87,AUD,CA,card,food,stripe,success,2024-12-28 23:17:51.038635,167,1.14,0.026
txn_000013,10.0,EUR,FR,bank,retail,square,success,2025-04-15 03:50:51.038635,70,0.36,0.114
txn_000014,10.0,USD,US,card,retail,stripe,success,2025-02-05 00:21:51.038635,77,0.59,0.068
txn_000015,10.0,GBP,IN,card,travel,razorpay,success,2025-03-23 20:38:51.038635,104,0.49,0.06
txn_000016,10.0,JPY,US,card,retail,stripe,success,2025-04-03 20:55:51.038635,124,0.59,0.004
txn_000017,32.18,USD,CA,card,gaming,stripe,success,2025-03-26 12:49:51.038635,50,1.23,0.04
txn_000018,10.0,USD,BR,wallet,food,paypal,success,2025-01-08 17:02:51.038635,162,0.83,0.2
txn_000019,10.0,USD,BR,card,gaming,adyen,success,2025-05-13 21:32:51.038635,142,0.4,0.003
txn_000020,181.0,INR,IN,card,retail,razorpay,failed,2025-04-02 20:08:51.038635,169,4.59,0.017
txn_000021,14.32,EUR,IN,bank,food,razorpay,success,2025-03-13 14:12:51.038635,124,0.59,0.084
txn_000022,22.23,USD,BR,wallet,digital,paypal,success,2025-03-30 11:45:51.038635,166,1.25,0.007
txn_000023,10.0,SGD,DE,card,finance,stripe,success,2025-06-25 19:35:51.038635,137,0.59,0.012
txn_000024,10.0,EUR,US,wallet,digital,stripe,success,2025-06-15 01:22:51.038635,148,0.59,0.127
txn_000025,23.72,USD,IN,card,retail,razorpay,success,2025-03-11 20:27:51.038635,124,0.82,0.047
txn_000026,10.0,USD,US,wallet,finance,stripe,success,2025-02-24 20:57:51.038635,112,0.59,0.005
txn_000027,35.29,USD,IN,card,digital,razorpay,success,2025-03-09 08:13:51.038635,123,1.1,0.033
txn_000028,10.0,EUR,IN,card,retail,razorpay,success,2025-03-30 22:56:51.038635,100,0.49,0.004
txn_000029,12.97,USD,CA,wallet,digital,stripe,success,2025-03-28 00:15:51.038635,113,0.68,0.03
txn_000030,10.0,EUR,UK,card,travel,square,success,2025-03-06 16:32:51.038635,101,0.36,0.001
txn_000031,323.25,INR,US,crypto,retail,stripe,success,2025-06-20 13:37:51.038635,82,9.67,0.047
txn_000032,19.68,GBP,IN,card,digital,razorpay,success,2025-06-01 13:43:51.038635,159,0.72,0.069
txn_000033,10.0,USD,SG,bank,retail,razorpay,success,2025-05-13 16:48:51.038635,154,0.49,0.068
txn_000034,68.98,EUR,DE,bank,food,adyen,success,2025-02-07 07:57:51.038635,120,2.05,0.042
txn_000035,10.0,AUD,UK,card,travel,stripe,success,2025-03-07 14:17:51.038635,96,0.59,0.016
txn_000036,27.48,USD,BR,wallet,digital,paypal,success,2025-05-19 01:16:51.038635,120,1.42,0.03
txn_000037,10.0,USD,BR,card,digital,square,success,2025-03-20 18:47:51.038635,124,0.36,0.08
txn_000038,10.0,EUR,US,bank,retail,stripe,success,2025-01-05 03:58:51.038635,100,0.59,0.072
txn_000039,26.99,GBP,US,card,retail,stripe,success,2025-03-05 19:46:51.038635,93,1.08,0.011
txn_000040,60.81,USD,FR,wallet,retail,paypal,success,2025-05-22 15:53:51.038635,142,2.56,0.006
txn_000041,25.97,INR,SG,card,digital,razorpay,success,2025-02-20 14:04:51.038635,131,0.87,0.122
txn_000042,16.89,GBP,BR,card,food,stripe,success,2025-04-08 14:02:51.038635,167,0.79,0.089
txn_000043,12.79,JPY,JP,card,gaming,adyen,success,2025-02-02 01:41:51.038635,84,0.48,0.005
txn_000044,10.0,USD,CA,card,retail,stripe,success,2025-03-01 17:08:51.038635,87,0.59,0.094
txn_000045,10.0,INR,IN,wallet,food,razorpay,failed,2025-05-14 02:20:51.038635,159,0.49,0.029
txn_000046,10.06,USD,US,wallet,food,stripe,success,2025-05-26 07:30:51.038635,125,0.59,0.042
txn_000047,98.07,EUR,US,wallet,food,stripe,success,2025-05-26 05:56:51.038635,56,3.14,0.045
txn_000048,33.63,EUR,IN,card,finance,razorpay,failed,2025-02-21 22:05:51.038635,159,1.06,0.029
txn_000049,10.0,USD,CA,card,retail,stripe,success,2025-05-02 20:21:51.038635,183,0.59,0.0
txn_000050,32.66,AUD,CA,card,retail,stripe,success,2025-01-08 20:42:51.038635,50,1.25,0.006
txn_000051,11.27,USD,FR,wallet,travel,paypal,success,2025-06-05 23:23:51.038635,142,0.87,0.038
txn_000052,10.0,EUR,US,crypto,digital,stripe,success,2025-06-20 07:11:51.038635,50,0.59,0.08
txn_000053,50.28,USD,CA,card,retail,stripe,success,2025-01-13 05:57:51.038635,117,1.76,0.023
txn_000054,94.3,INR,US,card,retail,stripe,success,2025-05-29 08:06:51.038635,149,3.03,0.005
txn_000055,81.2,USD,UK,card,digital,stripe,success,2025-03-02 11:28:51.038635,123,2.65,0.013
txn_000056,10.0,AUD,FR,wallet,food,paypal,success,2024-12-30 15:19:51.038635,221,0.83,0.002
txn_000057,12.63,AUD,DE,wallet,retail,paypal,success,2025-01-26 15:29:51.038635,204,0.92,0.064
txn_000058,33.01,AUD,BR,wallet,digital,paypal,success,2025-05-14 02:22:51.038635,231,1.61,0.008
txn_000059,86.77,USD,US,card,digital,stripe,success,2025-06-10 03:40:51.038635,154,2.82,0.032
txn_000060,10.0,GBP,IN,wallet,digital,razorpay,success,2025-03-13 06:43:51.038635,127,0.49,0.052
txn_000061,15.2,USD,UK,wallet,gaming,paypal,success,2025-04-22 18:19:51.038635,182,1.01,0.011
txn_000062,10.0,AUD,UK,card,retail,stripe,success,2025-03-05 10:21:51.038635,93,0.59,0.059
txn_000063,10.0,INR,SG,card,gaming,razorpay,success,2025-02-11 10:31:51.038635,133,0.49,0.014
txn_000064,67.95,EUR,DE,card,food,square,success,2025-01-24 13:52:51.038635,111,1.87,0.025
txn_000065,153.6,INR,JP,card,travel,stripe,success,2025-06-09 10:11:51.038635,117,4.75,0.058
txn_000066,18.03,USD,US,bank,digital,stripe,success,2025-02-15 21:56:51.038635,160,0.82,0.062
txn_000067,90.5,EUR,JP,card,digital,adyen,success,2025-02-07 11:22:51.038635,90,2.65,0.013
txn_000068,34.55,USD,US,wallet,finance,stripe,success,2025-05-11 18:11:51.038635,92,1.3,0.016
txn_000069,10.0,BRL,JP,card,finance,stripe,success,2025-03-20 08:34:51.038635,93,0.59,0.099
txn_000070,34.54,AUD,UK,card,retail,adyen,success,2025-01-25 05:29:51.038635,119,1.09,0.322
txn_000071,201.76,INR,UK,card,retail,stripe,success,2025-03-16 00:36:51.038635,77,6.15,0.105
txn_000072,19.03,JPY,IN,card,digital,razorpay,success,2025-02-27 11:38:51.038635,133,0.71,0.036
txn_000073,209.97,USD,BR,card,gaming,stripe,success,2025-01-18 17:04:51.038635,159,6.39,0.027
txn_000074,10.0,JPY,US,card,digital,stripe,success,2025-01-14 11:22:51.038635,128,0.59,0.003
txn_000075,68.91,USD,UK,card,travel,adyen,success,2025-01-28 22:15:51.038635,97,2.05,0.009
txn_000076,22.89,INR,SG,card,travel,razorpay,success,2025-04-28 10:43:51.038635,138,0.8,0.117
txn_000077,12.83,INR,UK,card,travel,adyen,success,2025-03-05 10:28:51.038635,69,0.48,0.061
txn_000078,23.05,USD,US,card,food,stripe,success,2025-06-01 06:46:51.038635,94,0.97,0.049
txn_000079,10.0,USD,UK,card,digital,square,success,2025-05-15 17:17:51.038635,104,0.36,0.034
txn_000080,14.45,USD,UK,bank,gaming,adyen,success,2025-02-17 15:52:51.038635,108,0.52,0.019
txn_000081,34.32,BRL,BR,card,food,adyen,success,2025-04-09 15:14:51.038635,128,1.08,0.008
txn_000082,184.35,USD,AU,wallet,travel,paypal,success,2025-04-02 08:30:51.038635,182,6.76,0.025
txn_000083,10.0,EUR,IN,card,digital,razorpay,success,2025-05-09 07:40:51.038635,180,0.49,0.044
txn_000084,10.0,CAD,BR,wallet,travel,paypal,success,2025-03-01 00:37:51.038635,228,0.83,0.041
txn_000085,10.0,USD,IN,card,retail,razorpay,success,2025-03-23 18:10:51.038635,163,0.49,0.077
txn_000086,79.29,EUR,US,bank,retail,stripe,success,2025-05-18 01:10:51.038635,156,2.6,0.038
txn_000087,32.89,GBP,US,card,travel,stripe,success,2025-02-21 17:37:51.038635,90,1.25,0.007
txn_000088,10.0,USD,UK,wallet,food,paypal,success,2025-06-06 18:47:51.038635,145,0.83,0.004
txn_000089,43.38,INR,US,card,travel,stripe,success,2025-01-13 19:28:51.038635,135,1.56,0.061
txn_000090,23.23,USD,BR,card,retail,adyen,success,2025-03-21 20:05:51.038635,59,0.77,0.034
txn_000091,85.88,USD,AU,wallet,food,paypal,success,2025-02-26 02:15:51.038635,171,3.41,0.109
txn_000092,10.0,EUR,US,card,digital,stripe,success,2025-05-01 00:07:51.038635,143,0.59,0.04
txn_000093,12.29,EUR,CA,card,food,stripe,success,2025-01-30 17:32:51.038635,162,0.66,0.056
txn_000094,11.15,JPY,FR,card,retail,stripe,success,2025-05-23 12:03:51.038635,112,0.62,0.043
txn_000095,10.0,SGD,BR,wallet,travel,paypal,success,2025-02-28 09:24:51.038635,160,0.83,0.109
txn_000096,31.32,EUR,JP,crypto,finance,stripe,success,2025-04-10 23:39:51.038635,129,1.21,0.034
txn_000097,29.71,USD,IN,card,retail,razorpay,success,2025-01-21 15:00:51.038635,107,0.96,0.001
txn_000098,20.24,USD,AU,wallet,digital,paypal,failed,2025-03-28 06:59:51.038635,174,1.18,0.058
txn_000099,14.13,USD,CA,card,travel,stripe,success,2025-04-26 16:36:51.038635,119,0.71,0.023
txn_000100,10.0,EUR,CA,card,travel,stripe,success,2025-06-18 14:14:51.038635,119,0.59,0.112
txn_000101,10.69,CAD,US,bank,travel,stripe,success,2025-01-21 18:58:51.038635,122,0.61,0.091
txn_000102,12.01,USD,US,bank,travel,stripe,failed,2025-03-23 20:48:51.038635,94,0.65,0.001
txn_000103,10.0,USD,IN,wallet,digital,razorpay,failed,2025-02-15 00:07:51.038635,118,0.49,0.059
txn_000104,15.77,EUR,US,card,digital,stripe,success,2025-04-20 22:00:51.038635,97,0.76,0.19
txn_000105,36.82,USD,US,card,retail,stripe,success,2025-02-12 02:02:51.038635,71,1.37,0.082
txn_000106,340.11,INR,FR,card,retail,stripe,success,2025-02-28 20:01:51.038635,130,10.16,0.065
txn_000107,26.1,EUR,US,card,travel,stripe,failed,2025-05-16 20:36:51.038635,146,1.06,0.033
txn_000108,29.56,EUR,CA,card,retail,stripe,success,2025-06-12 11:26:51.038635,143,1.16,0.014
txn_000109,17.96,USD,IN,wallet,gaming,razorpay,success,2024-12-30 20:32:51.038635,132,0.68,0.024
txn_000110,10.0,JPY,BR,bank,finance,stripe,success,2025-02-25 22:59:51.038635,95,0.59,0.079
txn_000111,19.3,USD,IN,card,finance,razorpay,success,2025-05-01 08:46:51.038635,162,0.71,0.058
txn_000112,21.98,AUD,US,card,gaming,stripe,success,2025-04-08 18:43:51.038635,139,0.94,0.01
txn_000113,808.24,USD,CA,bank,digital,stripe,success,2025-04-03 17:57:51.038635,126,23.74,0.043
txn_000114,15.05,SGD,SG,card,finance,razorpay,success,2025-03-05 07:51:51.038635,192,0.61,0.006
txn_000115,31.57,INR,BR,wallet,retail,paypal,success,2025-04-15 16:19:51.038635,179,1.56,0.037
txn_000116,19.07,USD,UK,card,retail,adyen,success,2025-05-19 15:18:51.038635,92,0.65,0.032
txn_000117,10.0,AUD,UK,card,travel,stripe,success,2025-04-30 21:45:51.038635,108,0.59,0.028
txn_000118,111.52,GBP,BR,crypto,retail,stripe,success,2025-03-12 23:36:51.038635,73,3.53,0.026
txn_000119,62.05,USD,US,card,gaming,stripe,success,2025-05-25 17:07:51.038635,139,2.1,0.038
txn_000120,65.8,USD,CA,card,travel,stripe,success,2025-01-12 16:53:51.038635,116,2.21,0.022
txn_000121,10.0,GBP,UK,card,travel,adyen,success,2025-01-10 19:10:51.038635,115,0.4,0.033
txn_000122,164.71,GBP,US,bank,retail,stripe,success,2025-04-29 10:31:51.038635,175,5.08,0.019
txn_000123,10.0,INR,UK,bank,travel,adyen,success,2025-05-11 22:36:51.038635,88,0.4,0.051
txn_000124,48.44,INR,US,card,retail,stripe,success,2025-05-06 20:27:51.038635,50,1.7,0.011
txn_000125,536.83,GBP,DE,card,finance,stripe,success,2025-02-12 20:11:51.038635,134,15.87,0.017
txn_000126,10.0,INR,BR,wallet,retail,paypal,success,2025-01-14 15:28:51.038635,185,0.83,0.006
txn_000127,10.0,EUR,US,card,travel,stripe,success,2025-02-26 05:40:51.038635,98,0.59,0.099
txn_000128,23.32,USD,SG,wallet,retail,razorpay,success,2025-05-22 01:10:51.038635,151,0.81,0.024
txn_000129,10.0,JPY,US,card,retail,stripe,success,2025-05-28 19:12:51.038635,143,0.59,0.155
txn_000130,10.0,USD,IN,card,digital,razorpay,failed,2025-01-17 07:15:51.038635,111,0.49,0.05
txn_000131,22.26,USD,US,wallet,retail,stripe,success,2025-05-26 12:06:51.038635,110,0.95,0.056
txn_000132,10.0,INR,BR,card,travel,square,success,2025-03-18 01:46:51.038635,154,0.36,0.056
txn_000133,40.87,EUR,AU,bank,retail,adyen,success,2025-06-17 15:53:51.038635,78,1.26,0.02
txn_000134,10.0,USD,DE,card,digital,adyen,success,2025-02-27 01:58:51.038635,102,0.4,0.084
txn_000135,205.39,USD,SG,card,food,razorpay,failed,2025-01-30 15:14:51.038635,61,5.18,0.016
txn_000136,10.0,GBP,DE,crypto,retail,stripe,success,2025-03-14 07:53:51.038635,75,0.59,0.026
txn_000137,12.39,BRL,BR,card,digital,stripe,success,2025-01-14 18:02:51.038635,124,0.66,0.152
txn_000138,68.05,EUR,FR,wallet,finance,paypal,success,2025-06-05 11:39:51.038635,216,2.8,0.067
txn_000139,10.0,EUR,BR,card,retail,adyen,success,2025-01-15 10:46:51.038635,59,0.4,0.019
txn_000140,28.25,USD,IN,wallet,retail,razorpay,failed,2025-05-06 01:41:51.038635,142,0.93,0.042
txn_000141,142.7,USD,US,wallet,digital,stripe,success,2025-03-26 20:29:51.038635,108,4.44,0.03
txn_000142,10.0,USD,IN,card,digital,razorpay,success,2025-02-28 04:51:51.038635,168,0.49,0.005
txn_000143,26.49,USD,US,wallet,food,stripe,success,2025-02-06 08:26:51.038635,83,1.07,0.004
txn_000144,29.66,EUR,CA,wallet,digital,stripe,failed,2025-05-16 15:52:51.038635,132,1.16,0.002
txn_000145,64.89,USD,IN,card,travel,razorpay,success,2025-06-02 14:06:51.038635,120,1.81,0.067
txn_000146,10.0,USD,CA,card,retail,stripe,failed,2024-12-30 15:25:51.038635,126,0.59,0.184
txn_000147,10.0,INR,US,card,digital,stripe,success,2025-05-18 03:32:51.038635,122,0.59,0.017
txn_000148,43.94,SGD,US,card,digital,stripe,success,2025-06-14 21:29:51.038635,112,1.57,0.007
txn_000149,31.36,JPY,IN,card,food,razorpay,failed,2025-01-31 01:40:51.038635,154,1.0,0.057
txn_000150,29.25,GBP,BR,card,gaming,square,failed,2025-01-24 17:08:51.038635,111,0.86,0.002
txn_000151,33.77,USD,UK,card,food,adyen,success,2025-02-05 01:51:51.038635,96,1.07,0.025
txn_000152,10.0,INR,UK,wallet,gaming,paypal,failed,2025-05-31 00:18:51.038635,169,0.83,0.021
txn_000153,28.46,USD,FR,card,digital,square,success,2025-03-25 00:16:51.038635,112,0.84,0.005
txn_000154,31.17,GBP,CA,bank,retail,stripe,success,2025-06-08 02:05:51.038635,126,1.2,0.136
txn_000155,10.0,INR,US,card,retail,stripe,success,2025-05-02 02:30:51.038635,90,0.59,0.077
txn_000156,329.86,INR,UK,card,digital,square,success,2025-01-09 20:13:51.038635,99,8.68,0.108
txn_000157,40.88,BRL,US,wallet,digital,stripe,success,2025-04-15 01:35:51.038635,88,1.49,0.0
txn_000158,10.0,INR,BR,card,retail,adyen,success,2024-12-28 04:22:51.038635,98,0.4,0.014
txn_000159,53.78,GBP,US,card,digital,stripe,success,2025-01-30 13:49:51.038635,102,1.86,0.055
txn_000160,10.0,USD,UK,card,digital,stripe,success,2025-02-07 17:01:51.038635,143,0.59,0.052
txn_000161,65.41,JPY,US,card,retail,stripe,success,2025-05-18 16:00:51.038635,140,2.2,0.057
txn_000162,114.19,USD,US,card,retail,stripe,failed,2025-05-19 17:40:51.038635,92,3.61,0.016
txn_000163,10.0,JPY,AU,crypto,finance,square,success,2025-01-16 16:30:51.038635,109,0.36,0.01
txn_000164,85.21,USD,US,card,digital,stripe,failed,2025-02-04 10:35:51.038635,139,2.77,0.01
txn_000165,37.31,USD,US,bank,travel,stripe,success,2025-04-01 12:08:51.038635,114,1.38,0.019
txn_000166,68.93,CAD,IN,wallet,food,razorpay,success,2025-02-03 06:41:51.038635,118,1.9,0.023
txn_000167,345.57,USD,US,card,digital,stripe,success,2025-01-07 02:56:51.038635,87,10.32,0.032
txn_000168,13.9,AUD,US,card,retail,stripe,success,2025-01-07 04:46:51.038635,145,0.7,0.045
txn_000169,10.0,USD,AU,wallet,digital,paypal,failed,2025-06-20 01:15:51.038635,207,0.83,0.082
txn_000170,10.0,SGD,AU,bank,food,adyen,success,2025-01-23 05:22:51.038635,93,0.4,0.072
txn_000171,10.0,GBP,BR,card,digital,stripe,success,2025-05-20 07:12:51.038635,142,0.59,0.044
txn_000172,17.89,GBP,SG,card,retail,razorpay,success,2025-02-05 01:28:51.038635,51,0.68,0.073
txn_000173,33.51,USD,DE,card,retail,square,success,2025-02-06 23:29:51.038635,149,0.97,0.019
txn_000174,30.42,USD,US,card,finance,stripe,success,2025-04-11 17:44:51.038635,115,1.18,0.059
txn_000175,69.46,AUD,AU,card,digital,square,success,2025-03-23 07:24:51.038635,114,1.91,0.006
txn_000176,20.48,USD,SG,bank,food,razorpay,success,2025-06-17 17:24:51.038635,130,0.74,0.023
txn_000177,177.74,USD,AU,card,digital,square,success,2025-03-01 01:43:51.038635,151,4.72,0.007
txn_000178,13.5,GBP,IN,wallet,finance,razorpay,success,2025-06-24 20:57:51.038635,108,0.57,0.043
txn_000179,1188.27,EUR,US,wallet,food,adyen,success,2025-01-06 08:47:51.038635,144,33.39,0.035
txn_000180,51.34,USD,SG,card,digital,razorpay,success,2025-02-17 07:55:51.038635,151,1.48,0.0
txn_000181,10.0,USD,FR,card,gaming,square,success,2025-03-16 00:47:51.038635,128,0.36,0.064
txn_000182,10.0,USD,BR,wallet,travel,paypal,failed,2025-01-03 14:45:51.038635,170,0.83,0.003
txn_000183,41.42,AUD,US,bank,retail,stripe,success,2025-04-09 03:50:51.038635,80,1.5,0.067
txn_000184,14.37,USD,US,wallet,retail,stripe,success,2025-01-14 01:55:51.038635,147,0.72,0.023
txn_000185,58.62,BRL,US,card,travel,stripe,failed,2025-06-10 09:58:51.038635,129,2.0,0.013
txn_000186,40.85,USD,AU,card,finance,adyen,success,2025-06-19 10:54:51.038635,140,1.26,0.012
txn_000187,18.01,USD,US,card,food,stripe,success,2025-01-03 21:29:51.038635,114,0.82,0.023
txn_000188,10.0,EUR,US,card,food,stripe,success,2025-03-03 23:10:51.038635,107,0.59,0.034
txn_000189,10.0,USD,BR,wallet,food,paypal,failed,2025-03-04 18:39:51.038635,221,0.83,0.028
txn_000190,10.28,GBP,US,card,digital,stripe,success,2025-05-29 06:55:51.038635,177,0.6,0.02
txn_000191,72.57,AUD,SG,wallet,travel,razorpay,success,2025-03-18 07:11:51.038635,140,1.99,0.094
txn_000192,27.69,USD,UK,card,retail,stripe,success,2025-05-06 20:57:51.038635,97,1.1,0.018
txn_000193,10.0,CAD,SG,wallet,gaming,razorpay,success,2025-05-23 23:49:51.038635,164,0.49,0.162
txn_000194,26.04,USD,CA,crypto,travel,stripe,success,2025-01-08 16:00:51.038635,112,1.06,0.087
txn_000195,35.8,USD,BR,card,food,stripe,success,2024-12-28 10:32:51.038635,137,1.34,0.016
txn_000196,10.0,USD,BR,bank,digital,adyen,success,2025-05-14 15:19:51.038635,92,0.4,0.016
txn_000197,25.29,JPY,US,card,retail,stripe,success,2025-06-16 23:56:51.038635,166,1.03,0.014
txn_000198,21.92,USD,US,card,digital,stripe,success,2025-04-16 20:15:51.038635,99,0.94,0.014
